accuracy@1,accuracy@5,accuracy@10
astropy__astropy-6938,astropy__astropy-6938,astropy__astropy-6938
astropy__astropy-7746,astropy__astropy-7746,astropy__astropy-7746
astropy__astropy-12907,astropy__astropy-12907,astropy__astropy-12907
astropy__astropy-14182,astropy__astropy-14182,astropy__astropy-14182
astropy__astropy-14365,astropy__astropy-14365,astropy__astropy-14365
django__django-10914,astropy__astropy-14995,astropy__astropy-14995
django__django-10924,django__django-10914,django__django-10914
django__django-11019,django__django-10924,django__django-10924
django__django-11039,django__django-11019,django__django-11019
django__django-11099,django__django-11039,django__django-11039
django__django-11133,django__django-11099,django__django-11099
django__django-11179,django__django-11133,django__django-11133
django__django-11422,django__django-11179,django__django-11179
django__django-11742,django__django-11422,django__django-11422
django__django-11905,django__django-11583,django__django-11583
django__django-12286,django__django-11620,django__django-11620
django__django-12308,django__django-11742,django__django-11742
django__django-12453,django__django-11905,django__django-11905
django__django-12497,django__django-11964,django__django-11964
django__django-12700,django__django-11999,django__django-11999
django__django-12708,django__django-12184,django__django-12184
django__django-12856,django__django-12286,django__django-12286
django__django-12915,django__django-12308,django__django-12308
django__django-12983,django__django-12453,django__django-12453
django__django-13028,django__django-12470,django__django-12470
django__django-13321,django__django-12497,django__django-12497
django__django-13447,django__django-12700,django__django-12700
django__django-13448,django__django-12708,django__django-12708
django__django-13551,django__django-12747,django__django-12747
django__django-13590,django__django-12856,django__django-12856
django__django-13658,django__django-12915,django__django-12915
django__django-13660,django__django-12983,django__django-12983
django__django-13710,django__django-13028,django__django-13028
django__django-13757,django__django-13033,django__django-13033
django__django-13768,django__django-13230,django__django-13230
django__django-13925,django__django-13265,django__django-13265
django__django-13933,django__django-13321,django__django-13321
django__django-14016,django__django-13401,django__django-13401
django__django-14017,django__django-13447,django__django-13447
django__django-14155,django__django-13448,django__django-13448
django__django-14238,django__django-13551,django__django-13551
django__django-14382,django__django-13590,django__django-13590
django__django-14411,django__django-13658,django__django-13658
django__django-14534,django__django-13660,django__django-13660
django__django-14608,django__django-13710,django__django-13710
django__django-14672,django__django-13757,django__django-13757
django__django-14730,django__django-13768,django__django-13768
django__django-14752,django__django-13925,django__django-13925
django__django-14855,django__django-13933,django__django-13933
django__django-14915,django__django-14016,django__django-14016
django__django-15061,django__django-14017,django__django-14017
django__django-15320,django__django-14155,django__django-14155
django__django-15347,django__django-14238,django__django-14238
django__django-15400,django__django-14382,django__django-14382
django__django-15498,django__django-14411,django__django-14411
django__django-15695,django__django-14534,django__django-14534
django__django-15781,django__django-14608,django__django-14608
django__django-15789,django__django-14667,django__django-14667
django__django-15902,django__django-14672,django__django-14672
django__django-15996,django__django-14730,django__django-14730
django__django-16041,django__django-14752,django__django-14752
django__django-16046,django__django-14855,django__django-14855
django__django-16139,django__django-14915,django__django-14915
django__django-16255,django__django-15061,django__django-15061
django__django-16379,django__django-15202,django__django-15202
django__django-16527,django__django-15252,django__django-15252
django__django-16595,django__django-15320,django__django-15320
django__django-16820,django__django-15347,django__django-15347
django__django-16873,django__django-15400,django__django-15400
django__django-17051,django__django-15498,django__django-15498
matplotlib__matplotlib-18869,django__django-15695,django__django-15695
matplotlib__matplotlib-22711,django__django-15781,django__django-15738
matplotlib__matplotlib-22835,django__django-15789,django__django-15781
matplotlib__matplotlib-23299,django__django-15851,django__django-15789
matplotlib__matplotlib-23476,django__django-15902,django__django-15851
matplotlib__matplotlib-23562,django__django-15996,django__django-15902
matplotlib__matplotlib-23563,django__django-16041,django__django-15996
matplotlib__matplotlib-23913,django__django-16046,django__django-16041
matplotlib__matplotlib-23964,django__django-16139,django__django-16046
matplotlib__matplotlib-24149,django__django-16229,django__django-16139
matplotlib__matplotlib-24265,django__django-16255,django__django-16229
matplotlib__matplotlib-24334,django__django-16379,django__django-16255
matplotlib__matplotlib-24970,django__django-16527,django__django-16379
matplotlib__matplotlib-25498,django__django-16595,django__django-16527
matplotlib__matplotlib-26020,django__django-16820,django__django-16595
mwaskom__seaborn-3010,django__django-16873,django__django-16820
mwaskom__seaborn-3407,django__django-16910,django__django-16873
pallets__flask-4045,django__django-17051,django__django-16910
pallets__flask-4992,matplotlib__matplotlib-18869,django__django-17051
psf__requests-863,matplotlib__matplotlib-22711,matplotlib__matplotlib-18869
psf__requests-1963,matplotlib__matplotlib-22835,matplotlib__matplotlib-22711
psf__requests-2317,matplotlib__matplotlib-23299,matplotlib__matplotlib-22835
pydata__xarray-4094,matplotlib__matplotlib-23476,matplotlib__matplotlib-23299
pydata__xarray-5131,matplotlib__matplotlib-23562,matplotlib__matplotlib-23476
pylint-dev__pylint-5859,matplotlib__matplotlib-23563,matplotlib__matplotlib-23562
pylint-dev__pylint-6506,matplotlib__matplotlib-23913,matplotlib__matplotlib-23563
pylint-dev__pylint-7993,matplotlib__matplotlib-23964,matplotlib__matplotlib-23913
pytest-dev__pytest-5103,matplotlib__matplotlib-23987,matplotlib__matplotlib-23964
pytest-dev__pytest-5227,matplotlib__matplotlib-24149,matplotlib__matplotlib-23987
pytest-dev__pytest-5495,matplotlib__matplotlib-24265,matplotlib__matplotlib-24149
pytest-dev__pytest-5692,matplotlib__matplotlib-24334,matplotlib__matplotlib-24265
pytest-dev__pytest-6116,matplotlib__matplotlib-24970,matplotlib__matplotlib-24334
pytest-dev__pytest-7373,matplotlib__matplotlib-25332,matplotlib__matplotlib-24970
pytest-dev__pytest-7432,matplotlib__matplotlib-25433,matplotlib__matplotlib-25332
pytest-dev__pytest-8365,matplotlib__matplotlib-25498,matplotlib__matplotlib-25433
scikit-learn__scikit-learn-10297,matplotlib__matplotlib-26011,matplotlib__matplotlib-25498
scikit-learn__scikit-learn-10508,matplotlib__matplotlib-26020,matplotlib__matplotlib-26011
scikit-learn__scikit-learn-11281,mwaskom__seaborn-2848,matplotlib__matplotlib-26020
scikit-learn__scikit-learn-12471,mwaskom__seaborn-3010,mwaskom__seaborn-2848
scikit-learn__scikit-learn-13241,mwaskom__seaborn-3190,mwaskom__seaborn-3010
scikit-learn__scikit-learn-13497,mwaskom__seaborn-3407,mwaskom__seaborn-3190
scikit-learn__scikit-learn-14092,pallets__flask-4045,mwaskom__seaborn-3407
scikit-learn__scikit-learn-14894,pallets__flask-4992,pallets__flask-4045
scikit-learn__scikit-learn-14983,pallets__flask-5063,pallets__flask-4992
scikit-learn__scikit-learn-25570,psf__requests-863,pallets__flask-5063
scikit-learn__scikit-learn-25638,psf__requests-1963,psf__requests-863
sphinx-doc__sphinx-7738,psf__requests-2148,psf__requests-1963
sphinx-doc__sphinx-8282,psf__requests-2317,psf__requests-2148
sphinx-doc__sphinx-8435,psf__requests-3362,psf__requests-2317
sphinx-doc__sphinx-8506,pydata__xarray-4094,psf__requests-3362
sphinx-doc__sphinx-8595,pydata__xarray-4248,pydata__xarray-4094
sphinx-doc__sphinx-8713,pydata__xarray-5131,pydata__xarray-4248
sphinx-doc__sphinx-8721,pylint-dev__pylint-5859,pydata__xarray-5131
sphinx-doc__sphinx-11445,pylint-dev__pylint-6506,pylint-dev__pylint-5859
sympy__sympy-11400,pylint-dev__pylint-7993,pylint-dev__pylint-6506
sympy__sympy-12171,pytest-dev__pytest-5103,pylint-dev__pylint-7080
